,ODINO,MFR_NAME,MAKETXT,MODELTXT,YEARTXT,CRASH,FAILDATE,FIRE,INJURED,DEATHS,COMPDESC,CITY,STATE,VIN,DATEA,LDATE,MILES,OCCURENCES,CDESCR,CMPL_TYPE,POLICE_RPT_YN,PURCH_DT,ORIG_OWNER_YN,ANTI_BRAKES_YN,CRUISE_CONT_YN,NUM_CYLS,DRIVE_TRAIN,FUEL_SYS,FUEL_TYPE,TRANS_TYPE,VEH_SPEED,DOT,TIRE_SIZE,LOC_OF_TIRE,TIRE_FAIL_TYPE,ORIG_EQUIP_YN,MANUF_DT,SEAT_TYPE,RESTRAINT_TYPE,DEALER_NAME,DEALER_TEL,DEALER_CITY,DEALER_STATE,DEALER_ZIP,PROD_TYPE,REPAIRED_YN,MEDICAL_ATTN,VEHICLES_TOWED_YN
1734939,11403991,tesla inc,tesla,model y,2021-01-01,n,2021-02-01,n,0,0,suspension,beverley hills,ca,5yjygdee7mf,2021-03-20 00:00:00,2021-03-20 00:00:00,100.0,,here is a model y in the junkyard  httpswwwiaaicomvehicledetails39423095tenantusrownumber11  the front wheel fell off  all the stupid flimsy little ball joints have snapped off  the wheel is stashed in the frunk  the damage to the wheel well is a strong indication that the wheel was not torn off in a crash but that it went whompy and thrashed the begeezus out of the front of the car  this a 2021 car and this is the best they can do  this thing is a killer on the road  please get these deadly junksters off the roads  thank you  keef    ,ivoq,n,,n,n,n,,,,,,30.0,,,,,,,,,,,,,,v,,n,n
1735073,11404082,tesla inc,tesla,model x,2016-01-01,n,2021-03-01,n,0,0,unknown or other,bowling green,ky,5yjxcbe29gf,2021-03-21 00:00:00,2021-03-21 00:00:00,95000.0,,tesla has an active recall on their mmc chips but says my screen has to be totally blacked out before they will replace i live 2 hours from the nearest dealership and im sure this will happen at the worst time it takes sometimes over a minute for my car to even turn on now and warm up,ivoq,n,,n,n,n,,,,,,0.0,,,,,,,,,,,,,,v,,n,n
1735343,11404269,tesla inc,tesla,model s,2017-01-01,n,2021-03-20,n,0,0,electrical system,seattle,wa,5yjsa1e21hf,2021-03-22 00:00:00,2021-03-22 00:00:00,38000.0,,tl the contact owns a 2017 tesla model s the contact stated while driving 50 mph the media control unit became inoperable causing several other electrical functions to fail to operate as needed the contact stated that the failure caused the turn signals to not function as needed the contact stated that the failure was intermittent the contact took the vehicle to the local dealer teslabellevue 14408 ne 20th st bellevue wa 98007 and the mcu module version 1 was replaced with version 2 however the failure persisted the manufacturer was made aware of the failure the failure mileage was 38000 ,evoq,n,,n,n,n,,,,,,50.0,,,,,,,,,,,,,,v,,n,n
1735344,11404269,tesla inc,tesla,model s,2017-01-01,n,2021-03-20,n,0,0,equipmentelectricalinfotainmentvideo touchscreenmonitorunit,seattle,wa,5yjsa1e21hf,2021-03-22 00:00:00,2021-03-22 00:00:00,38000.0,,tl the contact owns a 2017 tesla model s the contact stated while driving 50 mph the media control unit became inoperable causing several other electrical functions to fail to operate as needed the contact stated that the failure caused the turn signals to not function as needed the contact stated that the failure was intermittent the contact took the vehicle to the local dealer teslabellevue 14408 ne 20th st bellevue wa 98007 and the mcu module version 1 was replaced with version 2 however the failure persisted the manufacturer was made aware of the failure the failure mileage was 38000 ,evoq,n,,n,n,n,,,,,,50.0,,,,,,,,,,,,,,v,,n,n
1735462,11404356,tesla inc,tesla,model s,2016-01-01,n,2020-12-10,n,0,0,unknown or other,orlando,fl,5yjsa1e10gf,2021-03-22 00:00:00,2021-03-22 00:00:00,35000.0,,tesla has recall to change mcu since december of 2020  i have contacted them several times and answer is always parts are not available yet i think this is delay tactics my car screen went blank several times and i notified them,ivoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
1735482,11404368,tesla inc,tesla,model y,2021-01-01,n,2021-03-22,n,0,0,service brakes,annapolis,md,5yjygdee1mf,2021-03-22 00:00:00,2021-03-22 00:00:00,795.0,,today mar 22 2021 in my brand new 2021 tesla model y which i have now owned for one month i was sitting at a red light at a fairly large intersection on the outskirts of annapolis md  i had my foot resting on the floor as the car was stopped and in hold mode  suddenly with the light still red and on its own my car accelerated through the red light into the intersection at top speed  i was the first car in line at the red light  i slammed my foot on the brake but nothing happened it kept going right through  a van crossing through the intersection in the other direction proceeding through his green light was narrowly within an inch missed by my car which kept going all the way through until it finally stopped at the other side  conditions were dry and the weather was nice  it was approximately 100 in the afternoon est  i continued to drive until i came to a safe place to pull over and then called tesla service and roadside assistance and found their attitude to be very defensive  i was terrified to drive it so i had them come and tow it to the service center where they say they will look at the log  about a day or two ago a software update was pushed to my car that was the second sw update since i bought the car one month ago  this was absolutely the most terrifying thing that has ever happened in my 42 years of driving  i could have been killed or my car could have killed someone  thank god no pedestrians were crossing in front of me at the time and that i somehow missed that passing van  i   i felt the need to report this incident to the authorities  i told tesla i want them to take back the car and give me a new one in exchange  it is only one month old and has just 801 miles of driving on it thus far  i was not using auto pilot to my knowledge nor was i using cruise control  i do not have the selfdriving package,ivoq,n,,n,n,n,,,,,,0.0,,,,,,,,,,,,,,v,,n,n
1735483,11404368,tesla inc,tesla,model y,2021-01-01,n,2021-03-22,n,0,0,fuelpropulsion system,annapolis,md,5yjygdee1mf,2021-03-22 00:00:00,2021-03-22 00:00:00,795.0,,today mar 22 2021 in my brand new 2021 tesla model y which i have now owned for one month i was sitting at a red light at a fairly large intersection on the outskirts of annapolis md  i had my foot resting on the floor as the car was stopped and in hold mode  suddenly with the light still red and on its own my car accelerated through the red light into the intersection at top speed  i was the first car in line at the red light  i slammed my foot on the brake but nothing happened it kept going right through  a van crossing through the intersection in the other direction proceeding through his green light was narrowly within an inch missed by my car which kept going all the way through until it finally stopped at the other side  conditions were dry and the weather was nice  it was approximately 100 in the afternoon est  i continued to drive until i came to a safe place to pull over and then called tesla service and roadside assistance and found their attitude to be very defensive  i was terrified to drive it so i had them come and tow it to the service center where they say they will look at the log  about a day or two ago a software update was pushed to my car that was the second sw update since i bought the car one month ago  this was absolutely the most terrifying thing that has ever happened in my 42 years of driving  i could have been killed or my car could have killed someone  thank god no pedestrians were crossing in front of me at the time and that i somehow missed that passing van  i   i felt the need to report this incident to the authorities  i told tesla i want them to take back the car and give me a new one in exchange  it is only one month old and has just 801 miles of driving on it thus far  i was not using auto pilot to my knowledge nor was i using cruise control  i do not have the selfdriving package,ivoq,n,,n,n,n,,,,,,0.0,,,,,,,,,,,,,,v,,n,n
1735565,11404416,tesla inc,tesla,model 3,2018-01-01,n,2021-01-01,n,0,0,vehicle speed control,merchantville,nj,5yj3e1eb5jf,2021-03-23 00:00:00,2021-03-23 00:00:00,5000.0,,tl the contact owns a 2018 tesla model 3 the contact stated that while driving 70 mph with the cruise control activated the braking system erroneously activated causing the vehicle to abruptly stop in the middle of the road the contact indicated that during the failure there were no objects or vehicles nearby to cause the braking system to suddenly activate the cause of the failure was not yet determined the manufacturer was notified of the failure the local dealer was not yet contacted the failure mileage was 5000 ,evoq,n,,n,n,n,,,,,,70.0,,,,,,,,,,,,,,v,,n,n
1735566,11404416,tesla inc,tesla,model 3,2018-01-01,n,2021-01-01,n,0,0,forward collision avoidance automatic emergency braking,merchantville,nj,5yj3e1eb5jf,2021-03-23 00:00:00,2021-03-23 00:00:00,5000.0,,tl the contact owns a 2018 tesla model 3 the contact stated that while driving 70 mph with the cruise control activated the braking system erroneously activated causing the vehicle to abruptly stop in the middle of the road the contact indicated that during the failure there were no objects or vehicles nearby to cause the braking system to suddenly activate the cause of the failure was not yet determined the manufacturer was notified of the failure the local dealer was not yet contacted the failure mileage was 5000 ,evoq,n,,n,n,n,,,,,,70.0,,,,,,,,,,,,,,v,,n,n
1735636,11404471,tesla inc,tesla,model s,2017-01-01,n,2021-01-18,n,0,0,electrical system,austin,tx,5yjsa1e22hf,2021-03-23 00:00:00,2021-03-23 00:00:00,24000.0,,this was issued a full recall by nhsta the vendor tesla indicted only a couple of weeks before a chip replacement was available to date no repair has been made and the vendor is non responsive your help need to effect this recall,ivoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
1735637,11404471,tesla inc,tesla,model s,2017-01-01,n,2021-01-18,n,0,0,forward collision avoidance adaptive cruise control,austin,tx,5yjsa1e22hf,2021-03-23 00:00:00,2021-03-23 00:00:00,24000.0,,this was issued a full recall by nhsta the vendor tesla indicted only a couple of weeks before a chip replacement was available to date no repair has been made and the vendor is non responsive your help need to effect this recall,ivoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
1735638,11404471,tesla inc,tesla,model s,2017-01-01,n,2021-01-18,n,0,0,forward collision avoidance automatic emergency braking,austin,tx,5yjsa1e22hf,2021-03-23 00:00:00,2021-03-23 00:00:00,24000.0,,this was issued a full recall by nhsta the vendor tesla indicted only a couple of weeks before a chip replacement was available to date no repair has been made and the vendor is non responsive your help need to effect this recall,ivoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
1735655,11404484,tesla inc,tesla,model s,2021-01-01,n,2021-03-21,n,0,0,wheels,summit,nj,5yjsa1e22mf,2021-03-23 00:00:00,2021-03-23 00:00:00,1000.0,,while i was driving my new tesla s approximately 1000 miles on a county road the left front tire suddenly came off my car went across a road with oncoming traffic and hit a fence at a local residence there was substantial damage to the left front area of the car which can be seen from the attached photosfortunately i had just exited the garden state parkway where i was doing 65 mph  i have little doubt that if the accident had occurred 10 minutes earlier there would have been several fatalities including me although tesla claims to produce luxury vehicles it leased me a car that was inherently dangerous and could have caused a fatal accident,ivoq,n,,n,n,n,,,,,,30.0,,,,,,,,,,,,,,v,,n,n
1735668,11404490,tesla inc,tesla,model x,2017-01-01,n,2020-12-15,n,0,0,electrical system,minneapolis,mn,5yjxcbe29hf,2021-03-23 00:00:00,2021-03-23 00:00:00,30000.0,,i have had regular issues with my cars bluetooth systems since december 2020 the only way ive been able to resolve this issue is by resetting my car holding down both steering wheel buttons the service center has asked me to reset the car multiple times delete all connected bluetooth profiles and completely reset the cars electronics none of these fixes has worked    it still fails every 510 days i am going to leave it in a nonfunctioning state next time this happens so that they are forced to look at it in person they always try to diagnose things remotely but are unable to do so when it is in a nonfunctioning state it appears this also affects the cars cellular and wifi connectivity,ivoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
1735676,11404496,tesla inc,tesla,model 3,2020-01-01,n,2020-11-01,n,0,0,structurebody,west hollywood,ca,5yj3e1eb5lf,2021-03-23 00:00:00,2021-03-23 00:00:00,600.0,,tl the contact owns a 2020 tesla model 3 the contact stated that while operating the vehicle the drivers side floor mat folded over while attempting to depress the pedals on one occasion the failure caused the driver to lose control of the vehicle and the vehicle struck the curb the cause of the failure was not yet determined the manufacturer and tesla service center located at 11163 santa monica blvd los angeles ca 90025 were notified of the failure the failure mileage was 600dt,evoq,n,2020-06-12,y,y,y,,awd,,he,,,,,,,,,,,,,,,,v,,n,n
1736106,11404815,tesla inc,tesla,model s,2015-01-01,n,2020-04-20,n,0,0,electrical system,troy,ny,5yjsa1h23ff,2021-03-25 00:00:00,2021-03-25 00:00:00,118398.0,,tl the contact owns a 2015 tesla model s the contact stated while driving 30 mph the display screen stopped functioning the contact received notification of nhtsa campaign number 21v035000 back over prevention visibility exterior lighting the vehicle was taken to tesla service  latham 326 old niskayuna rd latham ny 12110 where it was diagnosed and the contact was informed that the embedded multimedia card emmc controller needed to be replaced the vehicle was repaired the manufacturer was informed of the failure the failure mileage was approximately 118398ln  consumer contacted the manufacturer to get reimbursed for the repair but the manufacturer told them that they had no record of the repair,evoq,n,,y,n,n,,awd,,he,,30.0,,,,,,,,,,,,,,v,,n,n
1736107,11404815,tesla inc,tesla,model s,2015-01-01,n,2020-04-20,n,0,0,back over prevention,troy,ny,5yjsa1h23ff,2021-03-25 00:00:00,2021-03-25 00:00:00,118398.0,,tl the contact owns a 2015 tesla model s the contact stated while driving 30 mph the display screen stopped functioning the contact received notification of nhtsa campaign number 21v035000 back over prevention visibility exterior lighting the vehicle was taken to tesla service  latham 326 old niskayuna rd latham ny 12110 where it was diagnosed and the contact was informed that the embedded multimedia card emmc controller needed to be replaced the vehicle was repaired the manufacturer was informed of the failure the failure mileage was approximately 118398ln  consumer contacted the manufacturer to get reimbursed for the repair but the manufacturer told them that they had no record of the repair,evoq,n,,y,n,n,,awd,,he,,30.0,,,,,,,,,,,,,,v,,n,n
1736231,11404905,tesla inc,tesla,model y,2020-01-01,n,2021-03-15,n,0,0,exterior lighting,denver,co,5yjygdee6lf,2021-03-25 00:00:00,2021-03-25 00:00:00,5900.0,,break light builds up condensation and obscures the lights from being seen  i reached out to tesla to have the part replaced under warranty  they claim that condensation to that level is normal  i think its a safety risk,ivoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
1736277,11404935,tesla inc,tesla,model x,2016-01-01,n,2021-03-05,n,0,0,suspension,mission viejo,ca,5yjxcbe49gf,2021-03-26 00:00:00,2021-03-26 00:00:00,,,cv joints are starting to fail and making loud noise knowing you are investigating i wanted to make sure you have a chance to take a look or ask specific questions before the x goes into preemptive servies next week,ivoq,n,,n,n,n,,,,,,10.0,,,,,,,,,,,,,,v,,n,n
1736302,11404951,tesla inc,tesla,model y,2021-01-01,n,2021-03-26,n,0,0,wheels,st louis,mo,5yjygdee6mf,2021-03-26 00:00:00,2021-03-26 00:00:00,7716.0,,heard a loud pop when turning wheel to put in reverse and park now one wheel points straight one is turned,ivoq,n,,n,n,n,,,,,,3.0,,,,,,,,,,,,,,v,,n,n
1736303,11404951,tesla inc,tesla,model y,2021-01-01,n,2021-03-26,n,0,0,steering,st louis,mo,5yjygdee6mf,2021-03-26 00:00:00,2021-03-26 00:00:00,7716.0,,heard a loud pop when turning wheel to put in reverse and park now one wheel points straight one is turned,ivoq,n,,n,n,n,,,,,,3.0,,,,,,,,,,,,,,v,,n,n
1736304,11404951,tesla inc,tesla,model y,2021-01-01,n,2021-03-26,n,0,0,suspension,st louis,mo,5yjygdee6mf,2021-03-26 00:00:00,2021-03-26 00:00:00,7716.0,,heard a loud pop when turning wheel to put in reverse and park now one wheel points straight one is turned,ivoq,n,,n,n,n,,,,,,3.0,,,,,,,,,,,,,,v,,n,n
1736411,11405008,tesla inc,tesla,model s,2018-01-01,n,2021-03-15,n,0,0,unknown or other,colorado springs,co,5yjsa1e28jf,2021-03-26 00:00:00,2021-03-26 00:00:00,45000.0,,on several occasions both of my dashboard screens driver cluster and center console went blank while driving at a variety of speeds  i was unable to see my speedometer backup camera control hvac or any audio  i also was unable to use collision assistance blind spot detection autopilot or presumably emergency braking  to regain control i had to reboot the vehicle while driving which was hazardous to say the least    there does not appear to be any specific trigger to this outage other than the vehicle was in gear and moving forward  it happened during the day and at night    i reported this to tesla using their report bug feature in the vehicle but i never heard anything back  this has occurred at least 6 or 7 times over the last year  the most recent incident occurred last week 1516 march,ivoq,n,,n,n,n,,,,,,45.0,,,,,,,,,,,,,,v,,n,n
1736412,11405008,tesla inc,tesla,model s,2018-01-01,n,2021-03-15,n,0,0,forward collision avoidance automatic emergency braking,colorado springs,co,5yjsa1e28jf,2021-03-26 00:00:00,2021-03-26 00:00:00,45000.0,,on several occasions both of my dashboard screens driver cluster and center console went blank while driving at a variety of speeds  i was unable to see my speedometer backup camera control hvac or any audio  i also was unable to use collision assistance blind spot detection autopilot or presumably emergency braking  to regain control i had to reboot the vehicle while driving which was hazardous to say the least    there does not appear to be any specific trigger to this outage other than the vehicle was in gear and moving forward  it happened during the day and at night    i reported this to tesla using their report bug feature in the vehicle but i never heard anything back  this has occurred at least 6 or 7 times over the last year  the most recent incident occurred last week 1516 march,ivoq,n,,n,n,n,,,,,,45.0,,,,,,,,,,,,,,v,,n,n
1736413,11405008,tesla inc,tesla,model s,2018-01-01,n,2021-03-15,n,0,0,forward collision avoidance warnings,colorado springs,co,5yjsa1e28jf,2021-03-26 00:00:00,2021-03-26 00:00:00,45000.0,,on several occasions both of my dashboard screens driver cluster and center console went blank while driving at a variety of speeds  i was unable to see my speedometer backup camera control hvac or any audio  i also was unable to use collision assistance blind spot detection autopilot or presumably emergency braking  to regain control i had to reboot the vehicle while driving which was hazardous to say the least    there does not appear to be any specific trigger to this outage other than the vehicle was in gear and moving forward  it happened during the day and at night    i reported this to tesla using their report bug feature in the vehicle but i never heard anything back  this has occurred at least 6 or 7 times over the last year  the most recent incident occurred last week 1516 march,ivoq,n,,n,n,n,,,,,,45.0,,,,,,,,,,,,,,v,,n,n
1736451,11405049,tesla inc,tesla,model s,2015-01-01,n,2021-03-26,n,0,0,structurebody,sachse,tx,5yjsa1h13ff,2021-03-26 00:00:00,2021-03-26 00:00:00,55000.0,,door handles that present themselves when you approach vehicle consistently break and prevent the ability to open the vehicle from the outside this also results in inability to open the door completely when child lock is in place although broken door handles can happen these break every year or two its a real safety issue for when you have kids strapped to car seats in the even of an emergency  please intervene before they move to touch less door handles functioning outdoor and indoor handles are really important in the event of an emergency such as fire after and accident first time handle broke was around 30k miles then again another around 50k,ivoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
1736452,11405049,tesla inc,tesla,model s,2015-01-01,n,2021-03-26,n,0,0,unknown or other,sachse,tx,5yjsa1h13ff,2021-03-26 00:00:00,2021-03-26 00:00:00,55000.0,,door handles that present themselves when you approach vehicle consistently break and prevent the ability to open the vehicle from the outside this also results in inability to open the door completely when child lock is in place although broken door handles can happen these break every year or two its a real safety issue for when you have kids strapped to car seats in the even of an emergency  please intervene before they move to touch less door handles functioning outdoor and indoor handles are really important in the event of an emergency such as fire after and accident first time handle broke was around 30k miles then again another around 50k,ivoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
1736567,11405120,tesla inc,tesla,model s,2015-01-01,n,2021-03-27,n,0,0,unknown or other,titusville,fl,5yjsa1e25ff,2021-03-27 00:00:00,2021-03-27 00:00:00,,,vehicle has been given to tesla for battery and motor work to be carried out they have now stated that they will have to update the software to 2019161 2019162 or newer  they have also advised that this may affect the range and charge rate of the vehicle  i believe these software updates relate to a hardware fault and should be investigated as it is setting precedence for other manufacturers to potentially send software updates to their vehicles without reporting the fault imagine if a certain manufacturer had the option of sending an ota software update to prevent the investigation into an emissions scandal   ,ivoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
