,ODINO,MFR_NAME,MAKETXT,MODELTXT,YEARTXT,CRASH,FAILDATE,FIRE,INJURED,DEATHS,COMPDESC,CITY,STATE,VIN,DATEA,LDATE,MILES,OCCURENCES,CDESCR,CMPL_TYPE,POLICE_RPT_YN,PURCH_DT,ORIG_OWNER_YN,ANTI_BRAKES_YN,CRUISE_CONT_YN,NUM_CYLS,DRIVE_TRAIN,FUEL_SYS,FUEL_TYPE,TRANS_TYPE,VEH_SPEED,DOT,TIRE_SIZE,LOC_OF_TIRE,TIRE_FAIL_TYPE,ORIG_EQUIP_YN,MANUF_DT,SEAT_TYPE,RESTRAINT_TYPE,DEALER_NAME,DEALER_TEL,DEALER_CITY,DEALER_STATE,DEALER_ZIP,PROD_TYPE,REPAIRED_YN,MEDICAL_ATTN,VEHICLES_TOWED_YN
691097,10244459,toyota motor north america inc,toyota,sienna,2005-01-01,n,2008-02-15,n,0,0,exterior lightingheadlights,superior,co,5tdba22c75s,2008-10-06 00:00:00,2008-10-06 00:00:00,27000.0,,i have a problem with one of my hid headlamps on a 2005 toyota sienna failing intermittently it seems from my research that im not the only one having this problem tr,ivoq,n,,n,n,n,,,,,,25.0,,,,,,,,,,,,,,v,,n,n
691100,10244462,toyota motor north america inc,toyota,sienna,2002-01-01,n,2008-10-04,n,0,0,structurebodydoor ,redmond,or,4t3zf13c22u,2008-10-06 00:00:00,2008-10-06 00:00:00,82000.0,,drivers side sliding door power will no longer work except manually  an annunciator on the dash indicate pwr door in red tr,ivoq,n,,n,n,n,,,,,,0.0,,,,,,,,,,,,,,v,,n,n
691101,10244462,toyota motor north america inc,toyota,sienna,2002-01-01,n,2008-10-04,n,0,0,latcheslockslinkages,redmond,or,4t3zf13c22u,2008-10-06 00:00:00,2008-10-06 00:00:00,82000.0,,drivers side sliding door power will no longer work except manually  an annunciator on the dash indicate pwr door in red tr,ivoq,n,,n,n,n,,,,,,0.0,,,,,,,,,,,,,,v,,n,n
691106,10244466,toyota motor north america inc,toyota,highlander,2004-01-01,n,2008-04-01,n,0,0,equipment,portsmouth,va,jteep21a840,2008-10-06 00:00:00,2008-10-06 00:00:00,50000.0,,the gps in my 2004 toyota highlander goes on and off without warning  when it does  it disables the defroster ac and heat  i dont care about the gps but when it disables my defroster it is a safety issue  it should have been a recall from the manufacturer    toyota has informed me a new gps will cost 500000  i can put a used one in for 150000  this is an unfair price to have a necessary safety function the defroster to work  defroster are required for state inspection  do you have any suggestions for toyota to address this issue tr,ivoq,n,,n,n,n,,,,,,0.0,,,,,,,,,,,,,,v,,n,n
691136,10244484,toyota motor north america inc,toyota,camry,1997-01-01,y,2008-10-03,n,0,0,steering,schaumburg,il,4t1bg22k2vu,2008-10-06 00:00:00,2008-10-06 00:00:00,110000.0,,tlthe contact owns a 1997 toyota camry  while attempting to make a right turn at 25 mph the steering wheel suddenly locked in place  the contact crashed into a tree but was unharmed  the vehicle was destroyed  the contact did not notice any differences prior to the failure  the vehicle has not been diagnosed by the dealer  the current and failure mileages were 110000,evoq,n,,n,n,n,,,,,,25.0,,,,,,,,,,,,,,v,,n,n
691142,10244489,toyota motor north america inc,toyota,matrix,2007-01-01,n,2008-10-04,n,0,0,tires,downers grove,il,2t1kr32e27c,2008-10-06 00:00:00,2008-10-06 00:00:00,40000.0,,premature excessive tire wear on rear of 2007 toyota matrix at 40000 miles  advised by local ntb tire store that rear tirewheel alignment is out of specs while front alignment was perfect tr,ivoq,n,,n,n,n,,,,,,0.0,,,,,,,,,,,,,,v,,n,n
691143,10244489,toyota motor north america inc,toyota,matrix,2007-01-01,n,2008-10-04,n,0,0,suspension,downers grove,il,2t1kr32e27c,2008-10-06 00:00:00,2008-10-06 00:00:00,40000.0,,premature excessive tire wear on rear of 2007 toyota matrix at 40000 miles  advised by local ntb tire store that rear tirewheel alignment is out of specs while front alignment was perfect tr,ivoq,n,,n,n,n,,,,,,0.0,,,,,,,,,,,,,,v,,n,n
691186,10244521,toyota motor north america inc,lexus,rx330,2004-01-01,n,2008-09-01,n,0,0,power trainautomatic transmission,dearborn heights,mi,jtjha31u940,2008-10-06 00:00:00,2008-10-06 00:00:00,68000.0,,vehicle keeps making noises at around 30 mph root cause is that a transmission cooling line on my 2004 when under pressure bangs against the body of the vehicle lexus was well aware of this issue so they redesigned the line on newer vehicle lexus is willing to replace the part but at owner cost i believe this is a defect and lexus need to replace the part under their own cost tr,ivoq,n,,n,n,n,,,,,,30.0,,,,,,,,,,,,,,v,,n,n
691201,10244540,toyota motor north america inc,lexus,rx330,2004-01-01,n,2008-10-03,n,0,0,tires,sarasota,fl,jtjga31u340,2008-10-06 00:00:00,2008-10-06 00:00:00,95042.0,,tlthe contact owns a 2004 lexus rx330  the vehicle has bridgestone dueler hl 683 tires size p26570r15  after placing air in the tires the contact drove for 42 miles  he reached his destination and noticed that the rear drivers side tire had three grapefruitsized knots on the outside of the tire  aaa arrived and deflated the tire and noticed that the tread was separating from the tire  the current and failure mileages were 95042     updated 110708 bf  updated 111308 jb,evoq,n,,y,y,y,6.0,,,gs,auto,70.0,,,,,,,,,,,,,,v,,n,n
691224,10244554,toyota motor north america inc,toyota,camry,2004-01-01,n,2008-10-01,n,0,0,electronic stability control,alvin,tx,4t1be32k54u,2008-10-06 00:00:00,2008-10-06 00:00:00,101000.0,,20022005 toyota throttle body assembly failure  fails at various mileage no warning  just dies  not a warranty item one dealer admits that toyota is aware and have redesigned part topixcom has blog reports many instances but not recall or campaigns  repair is 1k15k  owners feel this to be a recall item and that toyota should be responsible  please help  corporate office is no help and will not report any web material  will only motor  phone calls  please help if this part fails on highway could cause major accident or worse  tr,ivoq,n,,n,n,n,,,,,,10.0,,,,,,,,,,,,,,v,,n,n
691225,10244554,toyota motor north america inc,toyota,camry,2004-01-01,n,2008-10-01,n,0,0,power trainautomatic transmission,alvin,tx,4t1be32k54u,2008-10-06 00:00:00,2008-10-06 00:00:00,101000.0,,20022005 toyota throttle body assembly failure  fails at various mileage no warning  just dies  not a warranty item one dealer admits that toyota is aware and have redesigned part topixcom has blog reports many instances but not recall or campaigns  repair is 1k15k  owners feel this to be a recall item and that toyota should be responsible  please help  corporate office is no help and will not report any web material  will only motor  phone calls  please help if this part fails on highway could cause major accident or worse  tr,ivoq,n,,n,n,n,,,,,,10.0,,,,,,,,,,,,,,v,,n,n
691259,10244581,toyota motor north america inc,toyota,sienna,2004-01-01,n,2008-10-05,n,0,0,structurebodydoor ,ashburn,va,5tdba22c74s,2008-10-06 00:00:00,2008-10-06 00:00:00,80000.0,,cable used to openclose the passenger sliding door snapped and caused door to close without warning  and almost pinched fingers tr  ,ivoq,n,,n,n,n,,,,,,0.0,,,,,,,,,,,,,,v,,n,n
691305,10244595,toyota motor north america inc,toyota,prius,2006-01-01,n,2006-06-14,n,0,0,exterior lighting,pacoima,ca,jtdkb20u063,2008-10-07 00:00:00,2008-10-07 00:00:00,14000.0,,hid headlights on 2006 prius keep failing  first failure at about 14k miles two failures between 20k and 30k miles  total of five hid failures 2 for passenger side light 3 for drivers side light  failures are intermittent often while driving  hitting hid lamp lightly often restores light initially bulbs were replaces twice  subsequently the entire unit including computer board were replaced   bulbs should last life of car neither original hid light lasted the first year tr,ivoq,n,,n,n,n,,,,,,65.0,,,,,,,,,,,,,,v,,n,n
691306,10244595,toyota motor north america inc,toyota,prius,2006-01-01,n,2006-06-14,n,0,0,electrical system,pacoima,ca,jtdkb20u063,2008-10-07 00:00:00,2008-10-07 00:00:00,14000.0,,hid headlights on 2006 prius keep failing  first failure at about 14k miles two failures between 20k and 30k miles  total of five hid failures 2 for passenger side light 3 for drivers side light  failures are intermittent often while driving  hitting hid lamp lightly often restores light initially bulbs were replaces twice  subsequently the entire unit including computer board were replaced   bulbs should last life of car neither original hid light lasted the first year tr,ivoq,n,,n,n,n,,,,,,65.0,,,,,,,,,,,,,,v,,n,n
691359,10244631,toyota motor north america inc,toyota,prius,2005-01-01,n,2006-10-01,n,0,0,electrical system,surprise ,az,jtdkb20u753,2008-10-07 00:00:00,2008-10-07 00:00:00,13000.0,,tlthe contact owns a 2005 toyota prius  for the past two years the vehicle has emitted an odor inside the passenger compartment which sticks to the contacts clothing and hair  the odor has been recognized by toyota as an odor that originates from the rear battery which is found under the back seat  the odor is triggered by extreme heat and while pulling heavy loads  the contact lives in arizona so the vehicle is subjected to extreme heat  toyota stated that the odor was nontoxic and that there was no current remedy for the defect  the contact believes that the chemical may be toxic and feels uncomfortable driving the vehicle  the failure mileage was 13000 and current mileage was 45000 ,evoq,n,,n,n,n,,,,,,0.0,,,,,,,,,,,,,,v,,n,n
691367,10244636,toyota motor north america inc,toyota,camry,2006-01-01,n,2008-09-01,n,0,0,fuel system other,euless,tx,,2008-10-07 00:00:00,2008-10-07 00:00:00,37000.0,,there seems to be a defect with evap system for 2006 toyota camry just like previous other toyota models  currently have a check engine light due to the evap system toyota not willing to help since just out of warranty period tr,ivoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
691387,10244654,toyota motor north america inc,toyota,matrix,2003-01-01,n,2008-10-06,n,0,0,engine and engine coolingengine,altadena,ca,,2008-10-07 00:00:00,2008-10-07 00:00:00,111000.0,,tlthe contact owns a 2003 toyota matrix  while driving 65 mph the engine failed in the middle of the road  the road conditions were not a factor  there were no warning lights illuminated prior to the failure  the contact was driving in rush hour traffic at the time therefore he was accelerating and decelerating before the failure occurred  roadside assistance pushed the vehicle out of the middle of the freeway and it was towed to the repair shop  the vehicle was inspected for two days and engine sludge was determined to be the cause of the failure due to improper lubrication although there was oil present in the engine  the manufacturer stated that the engine failure was not covered for the matrix however the camry was covered  the camry and matrix have the same exact engine and the contact feels that it should also be covered  he was provided with reference number 200810070867  the vin was unknown  the failure mileage was 111000,evoq,n,,n,n,n,,,,,,65.0,,,,,,,,,,,,,,v,,n,n
691408,10244665,toyota motor north america inc,toyota,highlander hybrid,2006-01-01,n,2008-10-07,n,0,0,steering,caguas,pr,jtedw21a360,2008-10-07 00:00:00,2008-10-07 00:00:00,43058.0,,2006 toyota highlander hybrid 43058 miles  loss of electronic power steering assist    after driving one hour in the highway i stopped at my parents house when i was maneuvering to park the suv in the side of the road i lost the eps assist in the middle of the lane fortunately i was not in the highway and there were no accidents it was very difficult to maneuver the suv to a save spot after the loss of the eps assist    i took my highlander to toyota authorized service dealer at the beginning the technicians were unable to diagnose the problem toyota has not issued an technical service bulletin about the issue even when i have found information in this site that more than 109 similar cases has been reported investigationpe 06055    it is totally unfair that i have to pay for repair that is clearly is a manufacturers defect    please feel free to contact me at your convenience this is safety issue that needs to be solved asap there is peoples lives at risk tr,ivoq,n,,n,n,n,,,,,,7.0,,,,,,,,,,,,,,v,,n,n
691422,10244683,toyota motor north america inc,toyota,sienna,2004-01-01,n,2008-10-01,n,0,0,structurebody,san jose,ca,5tdza22c24s,2008-10-07 00:00:00,2008-10-07 00:00:00,70200.0,,power side door passenger side stuck in the open position  cable frayed and prevents door opening or closing tr,ivoq,n,,n,n,n,,,,,,0.0,,,,,,,,,,,,,,v,,n,n
691427,10244680,toyota motor north america inc,toyota,matrix,2006-01-01,n,2008-09-01,n,0,0,tires,cupertino,ca,,2008-10-07 00:00:00,2008-10-07 00:00:00,20000.0,,first and only owner  excessive tire wear on all 4 tires at only 20000 miles  all tires have excessive wear at the inside rim  i didnt have any accident and my driving was never aggressive  the tires have to replaced at 20000 miles  the concerns are the new tires will be gone in about another 20000 miles  toyota should correct this problem with the car  tr,ivoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
691432,10244690,toyota motor north america inc,toyota,rav4,2006-01-01,n,2008-10-01,n,0,0,electrical system,newtown,pa,,2008-10-07 00:00:00,2008-10-07 00:00:00,,,this is in reference to the electrical problem referenced recently  i have had the same experience of the car just not starting  i discovered that it is related to the stick shift  it looks like it is engaged  if you give it the tiniest jiggle it engages and the car will start  i dont know what the deal is but planned to bring it up when i take car to be serviced next  tr,ivoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
691433,10244690,toyota motor north america inc,toyota,rav4,2006-01-01,n,2008-10-01,n,0,0,power trainautomatic transmission,newtown,pa,,2008-10-07 00:00:00,2008-10-07 00:00:00,,,this is in reference to the electrical problem referenced recently  i have had the same experience of the car just not starting  i discovered that it is related to the stick shift  it looks like it is engaged  if you give it the tiniest jiggle it engages and the car will start  i dont know what the deal is but planned to bring it up when i take car to be serviced next  tr,ivoq,n,,n,n,n,,,,,,,,,,,,,,,,,,,,v,,n,n
691440,10244868,toyota motor north america inc,toyota,highlander hybrid,2006-01-01,n,2008-10-06,n,0,0,steeringelectric power assist system,gurabo,pr,jtedw21a360,2008-10-08 00:00:00,2008-10-08 00:00:00,,,i own a 2006 toyota highlander hybrid with 43058 miles on october 6 2008 after driving on the highway for one hour i decided to visit my parents while backingup to park on the side of the street i loss all the power steering it was very difficult to maneuver the vehicle finally i reach a save area a signal was lighted on my instrument panel after reading the owners manual i find a page were states that the eps system can protect itself from overheating causing the loss of power steering assist in a highlighted section of the owners manual it ask the owner to take the vehicle to a toyota service center if a eps failure happens i took the vehicle to a toyota dealership as recommended by the owners manual they are aware that the eps system is not working but were unable to diagnose the problem by the similar cases found in the internet with the same eps issue i can forecast that the cost of the repair will be anywhere from 2000 to 3000 plus the fact that spare parts are about 20 higher cost in puerto rico than the rest of the us if they are availablei do not agree that this issue is not a safety problem this is a design flaw and quality issue that is the manufacturers toyota responsibility why do i need to pay for a repair that is a manufacturers responsibility  neither the dealership or the toyota distributor on puerto rico has been able to identify or provide support to identify the cause of the eps failure apparently toyota has not issue a technical service bulletin about the eps failure in the 2006 highlander hybrid        ,evoq,n,,y,y,y,6.0,rwd,fi,he,auto,0.0,,,,,,,,,toyota of puerto rico,,,pr,,v,,n,n
691477,10244717,toyota motor north america inc,toyota,sienna,2004-01-01,n,2008-10-06,n,0,0,steering,lexington,ma,5tdba23c04s,2008-10-08 00:00:00,2008-10-08 00:00:00,86501.0,,on septmber 9 2008 i was told at the that i needed to replace all four of my run flat tires after doing so when i left the dealer i noticed that the steering did not feel the same as it did prior to my visit  initially i thought because i had four new tires that the steering felt tight because the tires were hugging the road over the past few weeks the steering had become progressively worse driving straight the car felt like it pulled towards the left making turns was difficult because the steering wheel would move intermittently as if i had no power steering i called the dealer on october 3 2008 to make an appointment and they told me they could look at it on october 8 2008 the car sat over this past weekend and when i drove it first thing monday morning i could barely move the wheel so i brought the car to the dealer on october 6 2008  to make sure it was safe to drive they diagnosed the problem as steering shaft ujoint failure  and told me that the steering could cease they ordered the part and replaced the steering shaft ujoint the following day on october 7 2008 i inquired how often they saw this issue and decided to research this part which brought me to this website i was curious since my family has owned many toyotas and never heard of this issue in addition the dealer had just replaced the same part on another sienna this past saturday i requested that they give me the defective part which i have tr,ivoq,n,,n,n,n,,,,,,25.0,,,,,,,,,,,,,,v,,n,n
691488,10244728,toyota motor north america inc,toyota,rav4,2002-01-01,n,2008-09-09,n,0,0,power trainautomatic transmission,jacksonville,fl,jtehh20v120,2008-10-08 00:00:00,2008-10-08 00:00:00,88000.0,,our rav4 began to have problems shifting and the check engine light was on took to local dealer first visit resulted in tuneup items dealership treated it as an enginerelated problem check engine came back on again the same afternoon  on second visit dealership kept car overnight to drive it while it was cold we were told that we had a bad catalytic converter and that this would have to be replaced before any further diagnosis could occur the cc was only three years old already having been replaced under warranty they had already reprogrammed the ecm per a toyota service campaign  after the cc replacement car is still not shifting properly and is getting worse dealership advised us that we need an ecm replacement at a cost of 1300  after the fact we found toyota tsb tc00206 which describes the exact issues our rav4 is having toyota admits in the tsb that the ecm of the 01 through 03 rav4s can cause the harsh shifting that we are seeing and that toyota made changes to the manufacturing process to reduce the possibility of this condition occurring the recommendation is the replacement of the ecm it cannot be reprogrammed to eliminate this problem  the result of this ecm failure is that the car is no longer drivable as the transmission does not shift properly at all and it constantly looses tension on its clutch pack resulting in loss of power to the road   the condition gets worse over a short time in only two weeks the car will not stay in any single gear when driving   a search of this issue on the internet found many other people having the same problem often the ecm failure causes physical transmission failure  the dealership will not stand behind their faulty diagnosis nor will they make toyota honor the warranty which is 80000 miles or 8 years we are under the years but over by 8000 miles  how can this not be treated as a safety issue is it not serious enough when your car slips out of gear in traffic unexpectedly tr,ivoq,n,,n,n,n,,,,,,30.0,,,,,,,,,,,,,,v,,n,n
691489,10244728,toyota motor north america inc,toyota,rav4,2002-01-01,n,2008-09-09,n,0,0,engine and engine cooling,jacksonville,fl,jtehh20v120,2008-10-08 00:00:00,2008-10-08 00:00:00,88000.0,,our rav4 began to have problems shifting and the check engine light was on took to local dealer first visit resulted in tuneup items dealership treated it as an enginerelated problem check engine came back on again the same afternoon  on second visit dealership kept car overnight to drive it while it was cold we were told that we had a bad catalytic converter and that this would have to be replaced before any further diagnosis could occur the cc was only three years old already having been replaced under warranty they had already reprogrammed the ecm per a toyota service campaign  after the cc replacement car is still not shifting properly and is getting worse dealership advised us that we need an ecm replacement at a cost of 1300  after the fact we found toyota tsb tc00206 which describes the exact issues our rav4 is having toyota admits in the tsb that the ecm of the 01 through 03 rav4s can cause the harsh shifting that we are seeing and that toyota made changes to the manufacturing process to reduce the possibility of this condition occurring the recommendation is the replacement of the ecm it cannot be reprogrammed to eliminate this problem  the result of this ecm failure is that the car is no longer drivable as the transmission does not shift properly at all and it constantly looses tension on its clutch pack resulting in loss of power to the road   the condition gets worse over a short time in only two weeks the car will not stay in any single gear when driving   a search of this issue on the internet found many other people having the same problem often the ecm failure causes physical transmission failure  the dealership will not stand behind their faulty diagnosis nor will they make toyota honor the warranty which is 80000 miles or 8 years we are under the years but over by 8000 miles  how can this not be treated as a safety issue is it not serious enough when your car slips out of gear in traffic unexpectedly tr,ivoq,n,,n,n,n,,,,,,30.0,,,,,,,,,,,,,,v,,n,n
691505,10244737,toyota motor north america inc,toyota,camry,2007-01-01,y,2008-10-05,n,2,0,air bagsfrontal,sacramento,ca,4t1be46k57u,2008-10-08 00:00:00,2008-10-08 00:00:00,14600.0,,i was a passenger in my car and my boyfriend was driving on the highway 101 northbound in san francisco and were struck by another vehicle from the rear about 2030 mph neither airbag went off from the collision causing me to hit my head on the dash and my boyfriend hitting his legs on the dash and steering console the airbag light is on indicating it was deployed and the repair shop is informing us that it has to be replaced  tr,ivoq,y,,n,n,n,,,,,,30.0,,,,,,,,,,,,,,v,,n,n
691507,10244735,toyota motor north america inc,scion,xb,2009-01-01,y,2008-09-26,n,2,0,air bagsfrontal,virginia beach,va,jtkde167290,2008-10-08 00:00:00,2008-10-08 00:00:00,3250.0,,tlthe contact owns a 2009 scion xb  while driving 10 mph the contacts vehicle was struck on the front drivers side by another vehicle traveling 20 mph  none of the air bags deployed  the contact injured her shoulder and the other driver had minor injuries to his face  a police report was filed  the vehicle has not been diagnosed by the dealer  the current and failure mileages were 3250 ,evoq,y,,n,n,n,,,,,,10.0,,,,,,,,,,,,,,v,,n,n
691537,10244763,toyota motor north america inc,toyota,prius,2007-01-01,n,2008-10-03,n,0,0,exterior lighting,monroe,la,jtdkb20ux77,2008-10-08 00:00:00,2008-10-08 00:00:00,37000.0,,one of my headlights on my 2007 toyota prius keeps going off  if i turn the lights off and then back on the light will come back on immediately  this appears to happen mostly in moist conditions  the dealership will not cover this under warranty and has no idea what is wrong  the dealer wants 375 plus labor for just the lamp but wont guarantee it  states they have never heard of this happening  however after checking this appears to be a problem all across the us with this vehicle tr,ivoq,n,,n,n,n,,,,,,55.0,,,,,,,,,,,,,,v,,n,n
691584,10244904,toyota motor north america inc,toyota,sequoia,2003-01-01,n,2008-08-20,n,0,0,electronic stability control,vacaville,ca,,2008-10-08 00:00:00,2008-10-08 00:00:00,52000.0,,03 toyota sequoia vsc abs parking brake light came on at 52000 miles while driving yaw sensor defective tr,ivoq,n,,n,n,n,,,,,,35.0,,,,,,,,,,,,,,v,,n,n
691585,10244904,toyota motor north america inc,toyota,sequoia,2003-01-01,n,2008-08-20,n,0,0,parking brake,vacaville,ca,,2008-10-08 00:00:00,2008-10-08 00:00:00,52000.0,,03 toyota sequoia vsc abs parking brake light came on at 52000 miles while driving yaw sensor defective tr,ivoq,n,,n,n,n,,,,,,35.0,,,,,,,,,,,,,,v,,n,n
691586,10244904,toyota motor north america inc,toyota,sequoia,2003-01-01,n,2008-08-20,n,0,0,service brakes hydraulic,vacaville,ca,,2008-10-08 00:00:00,2008-10-08 00:00:00,52000.0,,03 toyota sequoia vsc abs parking brake light came on at 52000 miles while driving yaw sensor defective tr,ivoq,n,,n,n,n,,,,,,35.0,,,,,,,,,,,,,,v,,n,n
691594,10244910,toyota motor north america inc,toyota,fj cruiser,2007-01-01,n,2008-10-04,n,0,0,structurebody,shreveport,la,jtebu11f870,2008-10-08 00:00:00,2008-10-08 00:00:00,16000.0,,my 2007 toyota fj cruiser with an expedition one front bumper and 6 rough country lift has gotten inner fender bulges it has never been jumped or involved in an accident the drivers side inner fender has begun to bulge up in the crumple zone  i have taken it to yokem toyota and they are waiting to hear from the national toyota office before fixing it under warranty they have been helpful but since toyota has not issued a service bulletin they dont know how to handle it tr,ivoq,n,,n,n,n,,,,,,5.0,,,,,,,,,,,,,,v,,n,n
