,ODINO,MFR_NAME,MAKETXT,MODELTXT,YEARTXT,CRASH,FAILDATE,FIRE,INJURED,DEATHS,COMPDESC,CITY,STATE,VIN,DATEA,LDATE,MILES,OCCURENCES,CDESCR,CMPL_TYPE,POLICE_RPT_YN,PURCH_DT,ORIG_OWNER_YN,ANTI_BRAKES_YN,CRUISE_CONT_YN,NUM_CYLS,DRIVE_TRAIN,FUEL_SYS,FUEL_TYPE,TRANS_TYPE,VEH_SPEED,DOT,TIRE_SIZE,LOC_OF_TIRE,TIRE_FAIL_TYPE,ORIG_EQUIP_YN,MANUF_DT,SEAT_TYPE,RESTRAINT_TYPE,PROD_TYPE,REPAIRED_YN,MEDICAL_ATTN,VEHICLES_TOWED_YN,COMPSYS_1,COMPSYS_2,COMPSYS_3,COMPSYS_4,COMPSYS_5,LDATE_month
1785838,11445971,hyundai motor america,hyundai,kona,2019-01-01,n,,n,0,0,electrical system,fairfield,ct,km8k53ag4ku,2022-01-03,2022-01-03,,,hyundai has been unable to complete a recall on the kona evs battery for nearly a year which is not reasonable by anyones definition of the word   during that time weve been unable to charge our car in our garage where our charger is installed and havent been able to use the car on roadtrips as we have to limit the charging capacity per the recall instructions i requested a buyback under my states lemon laws but they claimed it wasnt applicable i disagree based on the law and will be filing a complaint with the state as well ive been waiting months for the battery to arrive at the dealership there have been no updates from corporate since they denied the buyback request local dealerships have complained that corporate keeps changing the rules and how theyre supposed to handle the recall and are of no help   were going on a year without being able to fully utilize the car and hyundai refuses to offer any help they claim there are issues with the battery supply but are marketing brand new cars with batteries ,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,electrical system,,,,,2022-01
1785847,11445977,hyundai motor america,genesis,g80,2022-01-01,n,,n,0,0,electrical system,st augustine,fl,kmtgb4scxnu,2022-01-03,2022-01-03,,,i purchased a 2022 genesis g80 rwd 25t prestige after driving the car for less than 500 miles i got a message on my dash board that said  check lane change assist function it had a picture of the road and a left and right arrow on along with a triangle and the information icon inside it after 20 seconds the 155 navigation screen goes completely blank the screen controls more than the navigation it had done this routinely everyday we are very nervous about driving the car not knowing what else electronically could go wrong i took it back to the dealer and they said they have no idea what is wrong they told me that i was not the only person whom has came in to the dealership with the same issue the dealer has no idea how to make any repairs  i have pictures of the dash when both events happen if you would like them ,ivoq,n,,n,n,n,4.0,rwd,,gs,,45.0,,,,,,,,,v,,n,n,electrical system,,,,,2022-01
1785856,11445983,hyundai motor america,hyundai,sonata,2018-01-01,n,,n,0,0,engine,mount vernon,wa,5npe34af2jh,2022-01-03,2022-01-03,40913.0,,the contacts mother owns a 2018 hyundai sonata the contact stated that while his mother was driving approximately 20 mph the vehicle started shaking inadvertently and would not exceed 25-30 mph the check engine warning light illuminated the contacts mother was able to continue to drive the vehicle under 20 mph the dealer and the manufacturer were not notified of the failure the vehicle was not diagnosed or repaired the failure mileage was approximately 40913,evoq,n,,n,n,n,,,,,,20.0,,,,,,,,,v,,n,n,engine,,,,,2022-01
1785858,11445985,hyundai motor america,hyundai,veloster,2014-01-01,n,,y,0,0,engine,rome,ga,kmhtc6ae5eu,2022-01-03,2022-01-03,80000.0,,the contact owns a 2014 hyundai veloster the contact stated that while driving at 40 mph he heard an abnormal knocking noise emitting from the engine he then stated that a large amount of white smoke began to spew from the vehicle as his engine began to stall as the contact was able to pull the vehicle over the engine failed to restart after multiple attempts upon inspection the contact also discovered a long trail of oil had leaked from his vehicle he also discovered that oil had spewed all over the engine underneath the hood due to the failure the contact had the vehicle towed to an independent mechanic where they discovered a large piece of metal had blown through the engine block which resulted in engine failure the contact informed the dealer of the failure and his wife was informed that they had to order a new engine from the manufacturer the vehicle had yet to be repaired and remained in the possession of the independent mechanic the failure mileage was approximately 80000,evoq,n,,n,n,n,,,,,,40.0,,,,,,,,,v,,n,y,engine,,,,,2022-01
1785908,11446023,hyundai motor america,hyundai,tucson,2019-01-01,n,,n,0,0,engine,brunswick,ga,km8j33a48ku,2022-01-03,2022-01-03,,,the engine in my 2019 hyundai tucson turned off while driving down the interstate without any lights or warnings my 2 year old was in the back seat at the time and this could have caused a significant risk to not only myself and son but others on the road if we were not traveling at highway speed the vehicle was safely pulled over to the side of the road and would not restart i got it towed to the dealership it was purchased from and they informed me they have been having a lot of issues with engines recently and mine would need to be replaced it has now been sitting at the dealership since thanksgiving waiting to be serviced which is covered under manufacture warranty it is located at hyundai of brunswick in brunswick ga and can be accessed if needed,ivoq,n,,n,n,n,,,,,,80.0,,,,,,,,,v,,n,n,engine,,,,,2022-01
1785979,11446073,hyundai motor america,hyundai,tucson,2014-01-01,n,,n,0,0,engine,broken arrow,ok,km8ju3agxeu,2022-01-03,2022-01-03,,,i was drying my 2014 hyundai tucson 1227 and the engine began knocking and the speed dramatically decreased  now the engine no longer works at all  i took it to the hyundai dealer and they refused to fix because it is not currently in a vehicle recall campaign although it should be  i am also filing a complaint with the nhtsa today which currently shows 49 similar complaints for this exact year and model ,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,engine,,,,,2022-01
1785989,11446081,hyundai motor america,hyundai,santa fe,2014-01-01,n,,y,0,0,engine,crown point,in,5xyzu3lb4eg,2022-01-03,2022-01-03,,,on december 31 2021 at approximately 1230pm cst i was driving my fathers 2014 hyundai santa fe down i-94 in michigan city laporte area of indiana in the vehicle was my father my wife and my brother i was driving at approximately 70-75 mph and i started hearing a rattling noise when i accelerated it sounded as if the vehicle had a loose heat shield on the exhaust so i didnt think too much of it about 45-60 seconds after that all the dash lights came on and i pulled off to the side of the highway i turned the vehicle off and waited about 30 seconds and tried to start it back up which it did not do i then noticed smoke coming from under the hood so i told everyone to get out of the vehicle and i popped the hood latch i opened the hood and tried to determine where the smoke was coming from however it was coming from under other parts in the engine so i could determine what exactly was smoking i then saw a flame i told everyone to get back and i immediately called 911 within 10-15 minutes a firefighter pulled up in a pick-up truck he assessed the situation and spoke with my father ten minutes after that other firefighters showed up with an engine and extinguished the fire by that time though the fire had completely engulfed the entire front end of the vehicle we spoke with the police officers after a short wait a tow truck came and picked up the vehicle and we were picked up by other family members,ivoq,n,,n,n,n,,,,,,72.0,,,,,,,,,v,,n,n,engine,,,,,2022-01
1786007,11446094,hyundai motor america,hyundai,genesis,2015-01-01,n,,n,0,0,electrical system,brookhaven,pa,kmhgn4je6fu,2022-01-04,2022-01-04,,,while driving the following codes would flash aeb bsm tpms  also while the aeb code would flash it would limit my acceleration weather on the highway or local driving these issues were reported to hyundai america corporate and i have a active complaint as well as a open appointment with a local dealership on 1422 lastly i do have a video of this taking place ,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,electrical system,,,,,2022-01
1786010,11446095,hyundai motor america,hyundai,sonata,2012-01-01,n,,n,0,0,suspension,norton,oh,5npeb4ac4ch,2022-01-04,2022-01-04,,,the front driver side coil spring broke at the base  was driving my car and heard what sounded like something hitting the underside of my car  upon inspection we found the coil spring had broken in researching online there was is a campaign recall for 2010-2011 hyundai sonata 133  my vehicle does not fall in this category but feel it should  coil springs just dont break unless you are going off road  there are many forums with similar incidents,ivoq,n,,n,n,n,,,,,,35.0,,,,,,,,,v,,n,n,suspension,,,,,2022-01
1786020,11446100,hyundai motor america,hyundai,santa fe,2014-01-01,n,,n,0,0,engine,york,me,km8srdhf7eu,2022-01-04,2022-01-04,,,total engine failure while driving 1000 miles after a clean bill of health and some work done at licensed hyundai dealership  both hyundai local and corporate pointed fingers and blamed but no accountability  dealership quoted 14k for install of used engine  local engine shop said these engines fail shortly after 100k miles and he sees them more frequently than any other brand  the problem is the engine design and its inability to properly lubricate itself under real world driving conditions,ivoq,n,,n,n,n,,,,,,35.0,,,,,,,,,v,,n,n,engine,,,,,2022-01
1786029,11446107,hyundai motor america,hyundai,veracruz,2012-01-01,n,,n,0,0,electrical system,lawrenceville,nj,km8nudcc1cu,2022-01-04,2022-01-04,,,my vehicle was under a recall the engine lights started going off so i immediately turned around and headed back home by the time i got home my vehicle was close to stalling it would not go beyond 3rd gear and would not go into reverse i parked it on the street in front of my home and the vehicle stalled do to a failed alternator the vehicle was towed to the dealer the dealer honored only part of the recall they replaced the valve gaskett joint but they would not replace the alternator because it was not oil soaked the alternator was previously replaced under the first recall and it is clear that this second alternator failed and should have been replaced as part of this second recall my issue is that hyundai is not honoring the recall i was forced to pay out of pocket 99694 to have my alternator replaced i have contacted the hyundai customer care center multiple times since november 2021 regarding this issue im seeking that they honor the recall by reimbursing me but they have not followed up ,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,electrical system,,,,,2022-01
1786032,11446110,hyundai motor america,hyundai,sonata,2011-01-01,n,,n,0,0,air bags,caguas,pr,5npeb4ac8bh,2022-01-04,2022-01-04,,,the airbag sensor light will not turn off ,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,air bags,,,,,2022-01
1786067,11446136,hyundai motor america,hyundai,sonata,2015-01-01,n,,n,0,0,engine,urbana ,oh,5npe24aa1fh,2022-01-04,2022-01-04,,,out of the blue i heard a very loud knocking noise coming from my engine i was driving my children to school and as i hit the gas pedal the less power my car had not only would it not accelerate much but even the lights would dim i am now paying over 400 a month for a car that i can not drive and walking where i need to go my vin number does not qualify me for the engine recall hyundai has even though my car is the right year make and model engine size and problem that the recall is for awesome right,ivoq,n,,n,n,n,,,,,,35.0,,,,,,,,,v,,n,n,engine,,,,,2022-01
1786068,11446136,hyundai motor america,hyundai,sonata,2015-01-01,n,,n,0,0,electrical system,urbana ,oh,5npe24aa1fh,2022-01-04,2022-01-04,,,out of the blue i heard a very loud knocking noise coming from my engine i was driving my children to school and as i hit the gas pedal the less power my car had not only would it not accelerate much but even the lights would dim i am now paying over 400 a month for a car that i can not drive and walking where i need to go my vin number does not qualify me for the engine recall hyundai has even though my car is the right year make and model engine size and problem that the recall is for awesome right,ivoq,n,,n,n,n,,,,,,35.0,,,,,,,,,v,,n,n,electrical system,,,,,2022-01
1786081,11446145,hyundai motor america,hyundai,sonata,2012-01-01,n,,n,0,0,service brakes,dallas,tx,kmhec4a42ca,2022-01-04,2022-01-04,,,after the recent recall repairs the car started to intermittently getting a message on the dashboard saying hybrid system warning - safely stop and do not drive and check brakes and the brake lights came on with a loud chiming beep the car would stop accelerating and would not go beyond 10 mph also the breaks would fail to apply correctly and made a loud screeching sound when applied it used to do have this issue without any warning while driving or stopped at the light without any distinguishing pattern however it used to go away when the car was restarted multiple times however now the message is on continuously and doesnt go away with the restarting the car after taking to the dealership they said that the repairs would cost 3000 as the hydraulic power assembly unit has failed after looking for the issue online i have found that a lot of the 2011-14 hyundai sonata hybrid have this same issue and seems to be a manufacturing defect this is a huge life risk for the owners of this car since it can happen while on the freeway and pose a life threatening risk to their life it is also a huge financial burden for the owners for a manufacturing defect i would like you to investigate these issues and provide us with a appropriate solution,ivoq,n,,n,n,n,,,,,,30.0,,,,,,,,,v,,n,n,service brakes,,,,,2022-01
1786082,11446145,hyundai motor america,hyundai,sonata,2012-01-01,n,,n,0,0,engine,dallas,tx,kmhec4a42ca,2022-01-04,2022-01-04,,,after the recent recall repairs the car started to intermittently getting a message on the dashboard saying hybrid system warning - safely stop and do not drive and check brakes and the brake lights came on with a loud chiming beep the car would stop accelerating and would not go beyond 10 mph also the breaks would fail to apply correctly and made a loud screeching sound when applied it used to do have this issue without any warning while driving or stopped at the light without any distinguishing pattern however it used to go away when the car was restarted multiple times however now the message is on continuously and doesnt go away with the restarting the car after taking to the dealership they said that the repairs would cost 3000 as the hydraulic power assembly unit has failed after looking for the issue online i have found that a lot of the 2011-14 hyundai sonata hybrid have this same issue and seems to be a manufacturing defect this is a huge life risk for the owners of this car since it can happen while on the freeway and pose a life threatening risk to their life it is also a huge financial burden for the owners for a manufacturing defect i would like you to investigate these issues and provide us with a appropriate solution,ivoq,n,,n,n,n,,,,,,30.0,,,,,,,,,v,,n,n,engine,,,,,2022-01
1786083,11446145,hyundai motor america,hyundai,sonata,2012-01-01,n,,n,0,0,vehicle speed control,dallas,tx,kmhec4a42ca,2022-01-04,2022-01-04,,,after the recent recall repairs the car started to intermittently getting a message on the dashboard saying hybrid system warning - safely stop and do not drive and check brakes and the brake lights came on with a loud chiming beep the car would stop accelerating and would not go beyond 10 mph also the breaks would fail to apply correctly and made a loud screeching sound when applied it used to do have this issue without any warning while driving or stopped at the light without any distinguishing pattern however it used to go away when the car was restarted multiple times however now the message is on continuously and doesnt go away with the restarting the car after taking to the dealership they said that the repairs would cost 3000 as the hydraulic power assembly unit has failed after looking for the issue online i have found that a lot of the 2011-14 hyundai sonata hybrid have this same issue and seems to be a manufacturing defect this is a huge life risk for the owners of this car since it can happen while on the freeway and pose a life threatening risk to their life it is also a huge financial burden for the owners for a manufacturing defect i would like you to investigate these issues and provide us with a appropriate solution,ivoq,n,,n,n,n,,,,,,30.0,,,,,,,,,v,,n,n,vehicle speed control,,,,,2022-01
1786092,11446152,hyundai motor america,hyundai,sonata,2014-01-01,n,,n,0,0,electrical system,pottstown,pa,5npeb4ac9eh,2022-01-04,2022-01-04,,,headlights will randomly flash offon while driving using turn signals will also make the headlights and some interior lighting flicker offon headlights were replaced but problem still exists this is a major safety issue for me as other drivers believe im flashing my lights intentionally not to mention driving at night and having your headlights turn off randomly isnt very safe we feel very unsafe driving this vehicle after dark because of this issue this problem started at approx 70000 miles took the vehicle to the dealer and was told the issue is a defective multi function switch and that others are having the same issue however  but the dealer said this issue is only covered by the warranty up to 50k miles and i would have to pay to have this resolved i contacted hyundai consumer affairs and opened a complaint with them i was assigned case number 18855023 but was told there isnt anything hyundai could do and i would need to deal with my dealer to get this repaired out of warranty from my research ive found that many other sonata owners are experiencing this same issue and that some of the hyundai genesis line of vehicles also are experiencing these issues but in response to these genesis owners hyundai has extended the warranty of the multifunction switch assembly to 15 years with unlimited miles from the date of original retail delivery or date of first use whichever occurs first why is hyundai not addressing this same issue that exists on their other model lines  hyundai needs to extend the warranty and repair this defective switch for all other hyundai models this is a very unsafe and potentially life threatening hazardous issue that needs to be address for all hyundai customers and not just the genesis owners   ,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,electrical system,,,,,2022-01
1786102,11446162,hyundai motor america,hyundai,santa fe sport,2018-01-01,n,,n,0,0,engine,saint louis,mo,5xyzt3lbxjg,2022-01-04,2022-01-04,94000.0,,the contact owns a 2018 hyundai santa fe sport the contact stated that while driving at various speeds an abnormal knocking noise would emit from the vehicle as the check engine light had illuminated on the instrument panel one day as the contact was driving 70 mph the vehicle began shaking as the check engine light illuminated on the instrument panel the contact had taken the vehicle to an independent mechanic who discovered that the spark plugs needed to be replaced the contacts friend attempted to replace the spark plugs however he discovered oil on the spark plugs and informed the contact it was a major concern the manufacturer was notified of the failure and the contact was given a claim number and referred to a dealer for assistance the vehicle was taken to a dealer where it remained in their possession for a month the manufacturer later denied his claim and he was given an estimate for the repair the vehicle had yet to be repaired the failure mileage was approximately 94000,evoq,n,,n,n,n,,,,,,70.0,,,,,,,,,v,,n,n,engine,,,,,2022-01
1786210,11446240,hyundai motor america,hyundai,elantra gt,2018-01-01,n,,n,0,0,engine,miami,fl,kmhh35le5ju,2022-01-04,2022-01-04,,,so took my car for a recall at hyundai which it was related to a camp 966 engine monitoring the car has been turning off multiple times so took it to them and they told me it needs a new engine at only 60000 miles on it ,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,engine,,,,,2022-01
1786217,11446246,hyundai motor america,hyundai,santa fe,2017-01-01,n,,n,0,0,engine,greenville,sc,5xyztdlb8hg,2022-01-04,2022-01-04,,,i have a 2017 hyundai santa fe sport 24 liter engine on december 16th at 3am i was on the highway and the gas would not go above 65mph after i herd a clunk but i did not hit anything in the road 4 miles after that it started slowing down with all the warning lights going off 3 miles after that off the highway onto a city street and 4 miles away from home the vehicle made a sudden down shift it seemed started to slow down after a sound of my engine clinking and sounded as some parts fell off a half mile away from home it slowed to a walking pace and shut down i looked under the vehicle oil was everywhere i looked under the hood and seen the same thing  after a half mile tow my mechanic of 12 years who inspects the vehicle and does all the repairs and oil changes three to four times a year stated the pins and rods under the engine fell apart and blew a hole in the bottom of the engine  my mechanic tjburns at burns automotive carmax mechanic and precision auto all in greenville south carolina said the 24 liter engines from this manufacturer are known for blowing out and dying after 100000 miles regardless of proper maintenance and this is a a manufacturers  defect in their professional opinion,ivoq,n,,n,n,n,,,,,,65.0,,,,,,,,,v,,n,n,engine,,,,,2022-01
1786259,11446275,hyundai motor america,hyundai,veloster,2020-01-01,n,,n,0,0,electrical system,glen arm,md,kmht36ah8lu,2022-01-05,2022-01-05,,,during cold temperatures sub 32f the drivers side door will not open from the outside  occasionally the passenger door is affected as well  this required crawling through the hatch to open the doors from the inside  when the key fob is actuated you can hear and audible click in the area of the door lock but it cant be opened  once the weather warms and the car warms up the doors perform normally  this has never occurred during the warmer months,ivoq,n,,n,n,n,,,,,,,,,,,,,,,v,,n,n,electrical system,,,,,2022-01
1786286,11446301,hyundai motor america,hyundai,sonata,2016-01-01,n,,n,0,0,engine,van buren,ar,5npe24af2gh,2022-01-05,2022-01-05,105559.0,,the contact owns a 2016 hyundai sonata the contact stated while driving 70 mph the check engine warning light illuminated and the vehicle decelerated the contact was able to continue driving the contact took the vehicle to the local dealer where it was diagnosed with needing an oil change the contact stated that he changed the oil 510 miles before taking the vehicle to the dealer the contact took the vehicle to crain hyundai of fayetteville 1919 foxglove dr fayetteville ar 72704 479439-9878 and was informed that the vehicle needed an oil change the vehicle was not repaired but was pending repairs upon investigation the contact associated the failure with nhtsa campaign number 20v746000 engine however the vin was not included the manufacturer had been informed of the failure the failure mileage was 105559,evoq,n,,n,n,n,,,,,,70.0,,,,,,,,,v,,n,n,engine,,,,,2022-01
